Country,r_level,p_level,n,years,r_diff,p_diff,r_diff_ci95_lo,r_diff_ci95_hi,spearman_rho,spearman_p
Australia,,,18,,0.165,0.5138,-0.516,0.809,0.228,0.3627
Australia,0.916,0.0,19,2006-2024,,,,,,
Global,,,44,,-0.149,0.334,-0.404,0.171,-0.147,0.3405
Global,0.971,0.0,45,1980-2024,,,,,,
India,,,13,,-0.135,0.6606,-0.598,0.348,-0.148,0.6286
India,0.937,0.0,14,2011-2024,,,,,,
Japan,,,23,,0.129,0.5573,-0.291,0.54,0.233,0.2842
Japan,0.97,0.0,24,2001-2024,,,,,,
Singapore,,,14,,-0.366,0.1984,-0.795,0.446,-0.077,0.7938
Singapore,0.632,0.0115,15,2010-2024,,,,,,
United Kingdom,,,35,,0.156,0.3717,-0.185,0.451,0.117,0.504
United Kingdom,0.968,0.0,36,1989-2024,,,,,,
United States of America,,,44,,0.126,0.4158,-0.1,0.319,0.134,0.3862
United States of America,0.991,0.0,45,1980-2024,,,,,,
