"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","Australia","AUS",0.05376352056156116,0.04033018025916802,0.0697180246804058,0.07636717910604492,0.0639786923856751,0.08984888012877647,0.12043476627229403,0.10343336025654798,0.13871103466158427,0.5527815274949879,0.5255330459996261,0.5794585345279241,0.19665300456511192,0.1752092667214101,0.21830160315034963,0.056872537804641826,0.04549308558032901,0.06958969450824384,0.01466699892333585,0.01049670223439101,0.019841353153677074,0.0048276423780672355,0.002828408435395774,0.007587326263264365
1981,"Women","Australia","AUS",0.051247056334957165,0.03928172243632141,0.06532644195417346,0.08122618594170845,0.06930037333653044,0.09388393852762031,0.11652367746144147,0.10133239143940234,0.1328877508852439,0.548285463820651,0.5236001233437628,0.5725396059117718,0.20271761444124192,0.18293014393612717,0.222428689177398,0.06001507872410995,0.04905283972888077,0.07187201973338071,0.015850677948771687,0.011730636963321323,0.020742746209909284,0.005360429268826818,0.0033345670952517562,0.00809331968050726
1982,"Women","Australia","AUS",0.048812707666591855,0.03800856391148445,0.061403662190552794,0.08633598323982213,0.07500748279762433,0.09849215643504969,0.11266231628494293,0.09876608383633519,0.12719507509465755,0.5433834099760932,0.5206053012373502,0.5656931357404252,0.20880558083254985,0.1902281036140742,0.22710802181073647,0.06326882037694918,0.052889346089629,0.07449996404953811,0.017118570888639516,0.013025904381800967,0.021936108547948016,0.005948591974233424,0.003856408419349591,0.0086303600722352
1983,"Women","Australia","AUS",0.04647417018604214,0.03674283887333889,0.05783887185473847,0.09168534512625193,0.08071039897686128,0.10382045518020867,0.10886506073938199,0.0961307682074112,0.12229855087890568,0.5380911965031917,0.5168197729119637,0.5587061809005576,0.2148842254451322,0.19731502079517788,0.23212054672602483,0.06662488950515696,0.05653576822458104,0.07751316657270377,0.01846892401051989,0.014327272115392536,0.0232561683643825,0.006591531610575074,0.004426723509769999,0.009250959505802245
1984,"Women","Australia","AUS",0.0442316492549885,0.03527999607413884,0.054544408247097914,0.09724264272751336,0.0863284173008957,0.10921394983504826,0.10514619365535131,0.09314118987342274,0.11773668569200338,0.5324479684069728,0.5122795591668782,0.5522616385162322,0.22093154395517395,0.20406284413699385,0.23771765085499932,0.07005110252064954,0.06020222946263083,0.08059728714385689,0.01990341060302905,0.015742330566377704,0.024728363941171977,0.0072881296038347755,0.005069196736530783,0.010001396451600687
1985,"Women","Australia","AUS",0.04208059346636197,0.0338178477099041,0.05148769235241655,0.10297097173903992,0.09190253196058794,0.11486155780197019,0.10153464762456131,0.09050508683694215,0.11331981894478665,0.5265147971549207,0.5070521749669921,0.5460526788988437,0.22689898801511618,0.21024256936113203,0.24348911512526614,0.07351610055610963,0.06370620389230822,0.0841805176303258,0.021417222848671133,0.017190010918032055,0.02629090450767062,0.008037648334259151,0.005720963889663735,0.010843225263315388
1986,"Women","Australia","AUS",0.04002634190675862,0.03221943591053454,0.048835528586934324,0.10888565268901777,0.09779751277234439,0.1208302783032122,0.09802611622077065,0.08739361469373245,0.109232252813621,0.5202973947864842,0.5014498924599289,0.538815311516639,0.2327644923969688,0.2167360353279631,0.24922140196468323,0.07703308744154984,0.0670590671135935,0.08770523659650353,0.023010741373643496,0.018718456028425444,0.0280447785599131,0.008841823873824433,0.006425789091860542,0.011754478896746244
1987,"Women","Australia","AUS",0.03805764256864692,0.030736010212312998,0.04624351387720789,0.11496477810870648,0.10370632568322695,0.12693034496031072,0.09463231944924337,0.08469076937173572,0.10539838852942655,0.513863843007884,0.4954491785601466,0.5319887384170315,0.23848141486551924,0.22248141763904067,0.25464987448493237,0.0805888862313562,0.07045052513306807,0.0912740979351995,0.02467995228465622,0.020259085574329115,0.029802688170429765,0.009695939592694068,0.00717516277998816,0.012686827484571688
1988,"Women","Australia","AUS",0.03618451198878443,0.029265682683973022,0.0439420939894341,0.12121069033233894,0.10974728451180564,0.13329469554479126,0.09136237353774902,0.08165295565587449,0.1017320845467173,0.507194429875492,0.4890027199189311,0.5249706726575489,0.2440479922656356,0.22821867087163494,0.26016295760617547,0.08418340707604853,0.07382122352907643,0.09523920484683042,0.026422524467119998,0.02188786196734015,0.03183741557075969,0.010604758789170408,0.007928353129419478,0.013774962016324927
1989,"Women","Australia","AUS",0.03440036150699946,0.02795675453551414,0.04174055929711231,0.12763487145591987,0.11584527236157034,0.14005832717932962,0.08822283591277698,0.07883633210242368,0.0982670827266449,0.5002969619919153,0.4821900794508953,0.5180082912022124,0.24944496713238837,0.23371025179919985,0.2654358368183041,0.08783282629804855,0.07728307919223788,0.09916746419256516,0.028231791479034592,0.02350048066488204,0.0337896288511725,0.011570253678836722,0.00871220855984552,0.014905861752280107
