"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","India","IND",0.5073362024809019,0.468283552509641,0.544168330963162,0.004614625745464133,0.0031342028006547686,0.006554737427019365,0.21770382484159714,0.1897206230931613,0.24652703085423242,0.23960911445353045,0.20917534306859215,0.271705368057761,0.030736230478506297,0.023560689770178066,0.039227220872185914,0.0038963651710287577,0.002479529890459716,0.005775802257893605,6.171696615480248e-4,2.999340278860544e-4,0.0010811949291179193,1.0109091288734983e-4,2.4075847628407183e-5,2.6115992397253164e-4
1981,"Women","India","IND",0.49956353213548144,0.46295975485089685,0.5341734355137548,0.005053113174153167,0.003519848812590407,0.0069756630810332764,0.21575892921566872,0.19002967461138784,0.24247943058030694,0.24656457071680746,0.21771470617154315,0.27644385092731,0.03305985275788924,0.02594661206286262,0.04149169116827914,0.004260329022337594,0.0028181003277047856,0.006141914673896848,6.795219573663798e-4,3.4876735279888607e-4,0.001156759536173751,1.132621944491943e-4,3.0331427146068375e-5,2.768662501689791e-4
1982,"Women","India","IND",0.49160066147617043,0.4573506480402485,0.5240953178780244,0.005531846809348281,0.003968899684497111,0.007468556218807288,0.213778477478836,0.18991246119567218,0.23892778632780703,0.25356551258824983,0.22635193011937002,0.28196618614928215,0.035523499647395464,0.028422519077471092,0.04389524395387522,0.0046565958940554385,0.0031661860230779073,0.006552193504504261,7.48152280718218e-4,4.0448005481281404e-4,0.0012378971653253953,1.270986345746243e-4,3.809949903147634e-5,2.9121823295216953e-4
1983,"Women","India","IND",0.4835192302421213,0.45107470071656464,0.51438649324883,0.0060531429547276165,0.004467373540900941,0.007980479488838559,0.21175769940798447,0.18975255846852881,0.23516462789872242,0.26053876429980855,0.2348335177208335,0.28769440369439653,0.03813116109535805,0.03102139048865822,0.04638481129305016,0.005086651445350489,0.003562058506452204,0.006986839210000651,8.236603243510442e-4,4.681661876304258e-4,0.0013223938883862919,1.4283118502608175e-4,4.6974923225367155e-5,3.096582137081655e-4
1984,"Women","India","IND",0.4753811047812967,0.4442701406680065,0.5044146556511082,0.006619261480214451,0.00498911852734229,0.008567636091345218,0.2096958425981688,0.18883639499123592,0.23232587773699323,0.26742446765632044,0.24291560609260773,0.292990141966521,0.04087932148399965,0.033785489056817324,0.049034678237195095,0.005552322220804971,0.003999219053752819,0.007467583193191932,9.062742545171426e-4,5.412208312469356e-4,0.0014132449347350252,1.606650048923375e-4,5.819253612311601e-5,3.2869445753689187e-4
1985,"Women","India","IND",0.46722611887714377,0.4375266548993014,0.49514981089419874,0.007233827792901202,0.005556713527068049,0.009210070484716731,0.20760750141426065,0.18735605547124204,0.22861459269028944,0.27416397699011497,0.2504182920457518,0.298407459962205,0.04376857292557933,0.03655347214836502,0.051954141601257726,0.006056286086650474,0.0044827978032148455,0.008009331383616395,9.966993758591229e-4,6.209818987480624e-4,0.001501312253242646,1.8084233039160542e-4,7.11785466571345e-5,3.550170585952592e-4
1986,"Women","India","IND",0.45908908968510403,0.43064437757721924,0.48610356394498583,0.00789952541670702,0.006193989674149274,0.009960006752088114,0.2054987450872152,0.1861501895111087,0.2259120859438562,0.28072104705280887,0.2577045329510386,0.30385956748959886,0.04679159075816485,0.03950567076779188,0.05508600408359896,0.006600645302551949,0.0049596024536912395,0.008591639842798818,0.0010952650121958027,7.046304982797238e-4,0.0016141978645353293,2.0361510195926762e-4,8.642632017081539e-5,3.8092233729761986e-4
1987,"Women","India","IND",0.4510086482473719,0.42379478607990806,0.47690693238774967,0.008619432888358921,0.006824922192158733,0.010716505027631084,0.20336155922939805,0.18483911003787692,0.22310747404511294,0.287066860966928,0.26497917729536175,0.3093569338529789,0.04994349666794311,0.04247027945982991,0.05808766820473546,0.0071871845075647854,0.00548436929159407,0.009203254061100685,0.0012028606351902973,7.990059497914009e-4,0.0017316366585578347,2.2938774560383787e-4,1.0516337907037007e-4,4.126030325016497e-4
1988,"Women","India","IND",0.44300260171511424,0.41703564204002075,0.4680874126660814,0.009397296814760496,0.007537970594578482,0.011545240769990653,0.20121870505691095,0.18369093934733427,0.21998959699215026,0.2931521129986326,0.27177582189093863,0.3149211689474779,0.053229281414581726,0.045845062407438464,0.06141339173765025,0.007818983696653941,0.006089249905640314,0.009883274498437358,0.0013199168540046736,9.058340068681725e-4,0.0018555630743516298,2.583962641018829e-4,1.270721778130083e-4,4.436773653022365e-4
1989,"Women","India","IND",0.43509236514056515,0.40986689159314765,0.45924416805896734,0.01023806435523291,0.008326934099509376,0.012422156881719836,0.19905203535449517,0.1822013796674199,0.21722563506009684,0.29897538253574407,0.2787066104106017,0.31988885066074596,0.056642150613962626,0.04917703324822617,0.0647443032143752,0.008499901821890693,0.006706280697369791,0.01059618091407914,0.001447090757694362,0.0010172976305937878,0.001987918599241682,2.910717756478556e-4,0.00015312623864384274,4.7995812366510593e-4
