"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","Japan","JPN",0.09467118865103058,0.0845929045059229,0.10533681755285898,0.022579298584616877,0.019720058449832555,0.02566173756219411,0.1569874954661945,0.1472533891279035,0.16736296636996179,0.5618681629220303,0.5478959434966076,0.575679474753319,0.16389385237612766,0.15371561777839052,0.17406550572560386,0.02030520617564865,0.017495981755449454,0.023353993001191828,0.0020256554587893814,0.0015161230315952543,0.0026243296663408773,2.4843695017884375e-4,1.314161488317216e-4,4.174879331593478e-4
1981,"Women","Japan","JPN",0.09522368174976087,0.08618797378828487,0.10482625076958882,0.02245653961745102,0.019938786991249454,0.025232852318169328,0.1575262029822236,0.1491159367127563,0.1664951079948257,0.5617469487883832,0.5496155580619196,0.5737997324549707,0.16304662486218138,0.15411229227404072,0.17173175581808547,0.02015749753956916,0.017698657376324676,0.022821377455153738,0.0020493758463570335,0.0015921224305037735,0.0025835829134499087,2.4966623152482357e-4,1.3997443572587344e-4,4.013264986591214e-4
1982,"Women","Japan","JPN",0.09578841357537649,0.08756314797831483,0.1044320267979955,0.022352184663255836,0.020085290754687506,0.024797864690273643,0.15808382016755837,0.15027011691872005,0.16594942015206676,0.5615768857852813,0.550634378361616,0.5725802819314466,0.16219869380852803,0.15424829179095131,0.17010861820378095,0.020027128849796166,0.017810798989511538,0.022433861097971308,0.0020735822616621265,0.0016529277595254926,0.002554110492123594,2.5147355179754456e-4,1.4762786995138675e-4,3.9077957923760033e-4
1983,"Women","Japan","JPN",0.09636163032859878,0.0885568678156653,0.10440997012799383,0.0222655567594773,0.02016265808157047,0.024529601461880022,0.15866251395383715,0.1511126712269301,0.16627431279891586,0.5613389109506817,0.5510476985277818,0.5718167852171998,0.16137138600740514,0.15390053102856285,0.16887106534175478,0.019912315515302887,0.017872323574174606,0.022146182818258267,0.0020994038499838052,0.0016913518094514982,0.0025502195034043883,2.5383739419060684e-4,1.5480352953014718e-4,3.8412916067565646e-4
1984,"Women","Japan","JPN",0.09690741375732158,0.08932048167294075,0.10479558813763717,0.022208971044424118,0.020166848284447005,0.0244011168348332,0.15924569581340528,0.15188474880562844,0.16663024494366177,0.5610713792046703,0.5508753865965266,0.5714306298189596,0.1605665381801787,0.15349712825522413,0.16786395460509385,0.019826093979661424,0.017844832057826245,0.021966045948101528,0.002125905661449548,0.0017376399254239066,0.0025579245383176895,2.5697140331314784e-4,1.6163215644601002e-4,3.786074605230317e-4
1985,"Women","Japan","JPN",0.09739434305008109,0.08989113534885833,0.10506692214677064,0.022183508637099,0.020193923270863424,0.024336478645919014,0.1598430915297042,0.15243307610530615,0.16720480474280014,0.5607745114821516,0.5508824475634821,0.5710222582197914,0.15980454330096408,0.1529333549262098,0.1671834359633781,0.019769537305030876,0.017800548372818234,0.021876510206585917,0.0021529488414922856,0.0017710743631838062,0.0025754013679516823,2.6102249057583887e-4,1.6808682359295224e-4,3.8028237056595354e-4
1986,"Women","Japan","JPN",0.0978060998295049,0.090451380594961,0.10549155853736741,0.02219875770271412,0.020201317166838553,0.024385631057695364,0.16040328058518077,0.1529223382969802,0.16797885162016626,0.5604905138382028,0.5505993718424457,0.5705127805930164,0.15910134604439735,0.152303888946661,0.16629676948645444,0.019752056925507362,0.01779903477091353,0.02190587963683536,0.002180542765388654,0.0018007160609610552,0.002598295745531305,2.661580118181036e-4,1.7414423366842772e-4,3.818154865475283e-4
1987,"Women","Japan","JPN",0.09815076448063124,0.09088286737855703,0.10576894273317311,0.022266809361747776,0.020252411305062133,0.02440464929036479,0.16093370164211876,0.15359180085994292,0.16836058120363462,0.5601830794484348,0.5501526034498074,0.5701325740464525,0.15846564306706742,0.15153931524199904,0.16568818112494335,0.019785713219184785,0.017817115188990474,0.021961223042022367,0.0022086941544456934,0.0018334504488439238,0.002619144776625137,2.7240198811729775e-4,1.8075995204933667e-4,3.8919767378757536e-4
1988,"Women","Japan","JPN",0.09846931011000642,0.09117152253523261,0.1062102604998481,0.022383365402681862,0.020395943225635232,0.024471299106319448,0.1614630011332682,0.15418957598082045,0.16878286720198127,0.5598028606683921,0.5497797538183312,0.5695130429957315,0.15788146068565143,0.15112628341160347,0.16506658023460408,0.019865732383274177,0.017898731661557914,0.021959179240541412,0.002237979462775073,0.0018700333106861878,0.002651047102574787,2.796535566326081e-4,1.8773502727875444e-4,3.9554701013461943e-4
1989,"Women","Japan","JPN",0.09879776163148668,0.09134504953769101,0.10660423336573163,0.022549815810624815,0.020517205897765466,0.024716607202994796,0.16203559735753456,0.15471272092616023,0.16924050914954092,0.5592752924572597,0.5493252499604294,0.5688170267380526,0.15734153074309423,0.15064076877620036,0.1646593260783584,0.019992856876308914,0.01800098449776036,0.02214008868958246,0.0022690313939522045,0.001890793742256714,0.0026884001359061046,2.87927540363694e-4,1.9509008272281994e-4,4.0566806057676803e-4
1990,"Women","Japan","JPN",0.09919768970324001,0.0917046540081148,0.10691053169585181,0.022770403477468847,0.020727446661297708,0.02496346447008722,0.16266151890985386,0.1552169549677396,0.16995273449652332,0.5585829822123966,0.5487039161930866,0.5680975449138557,0.15678740369704064,0.14997119455006205,0.16405917654044055,0.02017115098157873,0.018176859443609646,0.02231526680450305,0.0023019777326727096,0.0019225071966600682,0.0027179975091241957,2.972747632174034e-4,2.0165007196826297e-4,4.1535018992277617e-4
1991,"Women","Japan","JPN",0.0996973085145771,0.09231413509632444,0.10731046974745176,0.023038845645880275,0.02101784499632456,0.025211215064222067,0.16337671943539958,0.1559169262703593,0.1707911796623513,0.5576966891358205,0.547828674410533,0.5671681214988908,0.1561904352683225,0.14941080130467185,0.16334340364103983,0.02039395933510541,0.01840674555206135,0.022546662078173595,0.0023372777659983373,0.0019505168947018723,0.002759034253864341,3.076085447765281e-4,2.099008054915438e-4,4.285623853354716e-4
