"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","Singapore","SGP",0.11384986206860127,0.07784958673552823,0.15527198699659464,0.07458766538677111,0.05113720932722568,0.10325256729314441,0.12909404243789446,0.09711370939424396,0.16544726901631918,0.42105969246281755,0.36573414165323037,0.4766128279466962,0.2614087356439157,0.2183768892844073,0.3076990855708644,0.06374106547047233,0.04123586020109435,0.09248632309744229,0.00958152141903239,0.004325038886627095,0.017784942502686224,0.0012650784972664058,2.198881103753622e-4,0.0037663994416298886
1981,"Women","Singapore","SGP",0.11031057667940311,0.07758259660624629,0.14772459817195677,0.07275948129365216,0.051255363697927915,0.09865526713201848,0.12781658153305286,0.09839934476664171,0.1607978173182973,0.42923046339596843,0.37882389928695237,0.47956223419769695,0.25988289509792345,0.21992875078675506,0.30223995336837367,0.062103529358438235,0.0416026803127206,0.0880451902919517,0.009408819171261218,0.004484345052181768,0.01686371065918957,0.0012471327639527118,2.4910069865722407e-4,0.003537619962707753
1982,"Women","Singapore","SGP",0.10682725975122832,0.07679522144329116,0.1406203219372173,0.07100192119231125,0.051462070631175826,0.09445852879009987,0.12652887169069849,0.09962355711184165,0.15635133411742463,0.43734547177565797,0.3909729579630435,0.483647246916508,0.258296473590104,0.22141137878593384,0.2972432623004038,0.0605235672644074,0.041801223899680766,0.0838998398626974,0.009244809950198957,0.004649301717338809,0.015950350336547948,0.0012335439777048916,2.7768251337590165e-4,0.0033205310133130935
1983,"Women","Singapore","SGP",0.10341229897282503,0.07621735835432823,0.1339339878967714,0.0692995320667645,0.051386611021096575,0.09046997954417475,0.12524896564016674,0.10020630577370745,0.15236027426998655,0.44537910010355114,0.40371798391069097,0.48779047075574544,0.2566601012166926,0.22252733542669925,0.2919364417381004,0.0589862756891607,0.0419735716423946,0.07980706260730847,0.00908957576492017,0.004756596334900467,0.015127636126118059,0.0012236806126836163,3.097629924436576e-4,0.003149451630812795
1984,"Women","Singapore","SGP",0.10004540861308298,0.07530892476736462,0.12755412147270112,0.06766003457338683,0.051467620529134915,0.08706377115341507,0.12396583128244762,0.10087533915345258,0.1488748762574255,0.4533459266560135,0.4156669751340646,0.4916868293437941,0.25498279687506914,0.22325955931286573,0.2876425058940995,0.05750150529862861,0.042161278050836345,0.0764288706583987,0.008940429011560815,0.004878912648218969,0.014402208752613326,0.0012181002631973994,3.4093960580827855e-4,0.0029994050290138153
1985,"Women","Singapore","SGP",0.09670316030648443,0.0739785344352052,0.12197975754992668,0.06607774953180395,0.051126924980693086,0.08376439522908181,0.12268821764363347,0.10127791912325064,0.14542094378981388,0.46126388651954076,0.42558005784292563,0.49634012213815526,0.2532669839985375,0.22416168177199186,0.28343161633915515,0.05606586141200253,0.04209760485599871,0.07361190248136423,0.008794318944867083,0.005019198082281076,0.013766784210916285,0.0012175691749343417,3.7409437977862977e-4,0.002851626118241103
1986,"Women","Singapore","SGP",0.09341438123837735,0.07245138598523537,0.11644109692142521,0.06458967615601756,0.050951064078945285,0.08083422050703373,0.12139146595387156,0.10154952522456676,0.1423500705494082,0.46907556975884296,0.4360486479624365,0.5013772531829856,0.25152890489289054,0.22436831525214299,0.27945177348361744,0.05471096679728818,0.04188120589323199,0.07061373793205948,0.008656421946665419,0.005115294216911448,0.013256913058931436,0.0012222874120639633,4.1373470402325844e-4,0.0027630825584311646
1987,"Women","Singapore","SGP",0.09021732782500512,0.07088582365601971,0.11107978444206054,0.06321750961542585,0.0507796335879562,0.07786115503835095,0.12009155957618688,0.10184191610617148,0.13938958606560964,0.4766684630675828,0.44553377986793746,0.5061214303980596,0.2498051379157994,0.22444430159940987,0.2757102980964245,0.053459425577423406,0.041626517847988376,0.06769993914177529,0.008525742088681712,0.0052112059144593294,0.012756930906296675,0.0012323419493207397,4.484443833977181e-4,0.0026727412891211356
1988,"Women","Singapore","SGP",0.08716521855799893,0.0691213290876177,0.1062067128855228,0.061973665753073365,0.05056006455218285,0.07525212205697786,0.11881875974531982,0.10210294885003149,0.13666368395418893,0.4839259528074187,0.455203306089493,0.5113320128465925,0.24811640113618919,0.2243480491655625,0.27212083899214884,0.052320786471535784,0.041382761627731954,0.06518443931104279,0.008405937384329243,0.005279548200161128,0.012332412702187587,0.0012469418972083422,4.863239940655843e-4,0.0025782709540726656
1989,"Women","Singapore","SGP",0.08429527767022423,0.06767494287986572,0.10213689830130943,0.06087856638612637,0.05004655499438951,0.07277189073001676,0.11760631327336717,0.10180986430446096,0.1344144357104835,0.49077658723805945,0.4637859798527481,0.5164828075483281,0.2464432534322228,0.22432791637942437,0.2691508773712102,0.05131240317325798,0.041256509044632766,0.0628356999791754,0.008299454526750367,0.005359099243883538,0.011957526080386522,0.0012667086861180281,5.265138339960708e-4,0.0025270008465003192
1990,"Women","Singapore","SGP",0.08166148555395508,0.06605221972856365,0.09820498729167168,0.05995164124540393,0.04987796487141905,0.0711403534717419,0.11648918547613887,0.10148414063593302,0.1323221970099639,0.4971125034815325,0.4718101734478576,0.521600315439261,0.24478518224296958,0.22388839838362948,0.26637534671600527,0.0504516594740427,0.04089925566127625,0.061142528146432513,0.008208619823131728,0.005422245859526675,0.01165554937103726,0.0012913619482295016,5.643895867216695e-4,0.002510978886027646
