"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","United Kingdom","GBR",0.04414151855318245,0.030170157782153883,0.06156887855916638,0.08463625737585351,0.06764342208268179,0.1044083387913156,0.08708652500002419,0.06826709020638758,0.1083536160366016,0.5561989078869439,0.5209910285229336,0.5915994436648878,0.22793678918399596,0.19602418607752553,0.26027537901857106,0.061181262366804316,0.04593145422971659,0.07928817469820756,0.016781123082578835,0.011101785973656606,0.02371877733481701,0.006673871926470362,0.0036420400784015344,0.011058463447196042
1981,"Women","United Kingdom","GBR",0.04209801646248621,0.029793823201842956,0.05718784487269134,0.08930381728613616,0.07316842103079674,0.10761553091259932,0.08432889657321724,0.06740421300418384,0.10270703302962417,0.5507260706579039,0.519006970207721,0.5822474575264003,0.2335431970202565,0.20456736024680963,0.26306436694759766,0.06434379977479798,0.05003402763003198,0.08078849540160751,0.01787882595702993,0.012422425989291894,0.024371806483408757,0.0070811915543082474,0.004147988992682983,0.011116535710793357
1982,"Women","United Kingdom","GBR",0.04013324011632504,0.029279843988503064,0.05330597807996326,0.094176037407995,0.07912433179572628,0.11098751124246013,0.08161840488155728,0.06684272309563749,0.0977420196200201,0.5449311354135834,0.5165467146376345,0.5730922220520694,0.23914118018053926,0.2126360564752512,0.26608916538439575,0.06761656641848442,0.054184178266333545,0.08278506549732655,0.01904243281620651,0.01377377936346653,0.02523270674482864,0.007517038173304081,0.004677294492246377,0.011269551027946795
1983,"Women","United Kingdom","GBR",0.038258482787339114,0.028547583298052223,0.04959856122972775,0.09925485804148247,0.08524010376829384,0.1145404283976084,0.07895765659351156,0.0660055443426588,0.09282711354921752,0.5387982858071677,0.5131831037855978,0.5641016156930898,0.24473071477049918,0.22100600401966283,0.26908668206908976,0.07100584814134571,0.058560005478362084,0.08500976384894215,0.0202692432551305,0.015181555563008136,0.026147742790632828,0.007979766645006256,0.00524998706307905,0.011515821414816312
1984,"Women","United Kingdom","GBR",0.03646230767710298,0.02793421459111549,0.04635440555743582,0.10450509530529056,0.09174706195514243,0.11857076096638988,0.0763685406096068,0.06510368295516196,0.08829520207247608,0.5324021832051069,0.5096313874682062,0.5552989964953503,0.2502618712028928,0.22853946867115313,0.2723476821657266,0.07447595828342622,0.06254254552125121,0.08739448088107665,0.021563015151863145,0.016727739583282338,0.027093085656791784,0.008466121870001182,0.005837178089736471,0.011787967859961944
1985,"Women","United Kingdom","GBR",0.03474281074443825,0.027207283275102863,0.043321208225374504,0.10989511011097912,0.09802778763465218,0.12291376117039618,0.07386864864489452,0.0638677850566523,0.08451062307206386,0.5257593292535405,0.5051116285288015,0.5466277906400843,0.2557340992461476,0.236068994669472,0.27559107587916387,0.07799637198912067,0.06686142542704918,0.08991812733098566,0.022920586329363713,0.018288696533360543,0.028157358499613813,0.008978151792494737,0.006476434991007807,0.012075966124249127
1986,"Women","United Kingdom","GBR",0.03310573951206253,0.026510037915071324,0.04060274918813212,0.11542491848161932,0.10412568974170017,0.12767841838466745,0.07143823424642481,0.06263448666560904,0.0808601339533318,0.5188903215756767,0.49975851630226736,0.53762274893651,0.2611407841842166,0.24331954858694446,0.2789675138946522,0.0815699307423629,0.07108058756917784,0.09253664510720727,0.0243389410004548,0.01993734084738792,0.02930394326442803,0.009516046738801614,0.007095081255891372,0.012453423966917865
1987,"Women","United Kingdom","GBR",0.03154141484920239,0.025735565472622315,0.03803837149465677,0.121082832906328,0.11038836138984824,0.1323190366996831,0.06908181508781297,0.06134660798289555,0.07734495892413219,0.5118288602335975,0.4946721328240933,0.5289160233903759,0.2664650749230591,0.2503724700150449,0.28241295515885784,0.08518781229374298,0.07543883551946387,0.09552608043580214,0.025816437251817294,0.021615210431082894,0.030462329482630904,0.010078583360767739,0.0077460254587457845,0.012886764256610051
1988,"Women","United Kingdom","GBR",0.030053370819908668,0.024933562470050134,0.03568980181805007,0.12688783107816728,0.11668527980998115,0.1373972589117757,0.0667918423024228,0.05992418057075131,0.07416591982295861,0.5045425652835432,0.4889008277624307,0.5199199915687275,0.271724388515958,0.25698692643810644,0.28603645074516315,0.08886739222519618,0.0796958579187316,0.09839652083191545,0.02734958412182631,0.023356840441421386,0.03172441605820974,0.01067085473114477,0.008381230580209209,0.01336339292798028
1989,"Women","United Kingdom","GBR",0.028633695154515436,0.024100335846735085,0.033615279715485426,0.13286165973304756,0.12332056586259765,0.14259567613761684,0.06456995425133165,0.05844581842365093,0.07117784608682629,0.49699905847423215,0.4825025348011544,0.5114017009660687,0.27693563038687313,0.26336208793090893,0.29019936148007797,0.09262253087969646,0.08397397849361185,0.10143914679643769,0.028940026927787063,0.025061025721835644,0.03317811515869235,0.011299101925564022,0.009071399015261918,0.01389180208044348
