Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,Australia,AUS,0.0796750077836567,,0.0014622495802758,,0.0124597443890913,
1981,Men,Australia,AUS,0.0837518148578518,0.004076807074195096,0.0015815469513904,0.00011929737111459997,0.0120534552039057,-0.0004062891851855984
1982,Men,Australia,AUS,0.0880161846057213,0.004264369747869506,0.0017144007535189,0.00013285380212850017,0.0116680787885821,-0.00038537641532359994
1983,Men,Australia,AUS,0.0924743432768032,0.004458158671081902,0.0018601220330171,0.0001457212794981999,0.0113107596331647,-0.0003573191554174012
1984,Men,Australia,AUS,0.0971682851241216,0.004693941847318389,0.0020181840438898,0.00015806201087269992,0.0109786242445989,-0.0003321353885658001
1985,Men,Australia,AUS,0.1020534908601079,0.004885205735986303,0.0021890972851171,0.00017091324122730026,0.010674046090623,-0.00030457815397589953
1986,Men,Australia,AUS,0.1071309926908506,0.005077501830742695,0.0023751341897274,0.00018603690461029996,0.0103941737054402,-0.0002798723851827993
1987,Men,Australia,AUS,0.112394221925945,0.00526322923509441,0.0025787918046953,0.00020365761496789984,0.0101383407450693,-0.0002558329603709001
1988,Men,Australia,AUS,0.1179004767852715,0.005506254859326501,0.0028035686888543,0.00022477688415900024,0.0099022809455609,-0.00023605979950840073
1989,Men,Australia,AUS,0.1236657971969261,0.00576532041165459,0.0030572709150041,0.0002537022261497996,0.0096896627520888,-0.00021261819347210067
1990,Men,Australia,AUS,0.1297060000425311,0.006040202845605011,0.0033447389592125,0.0002874680442084003,0.0094993538906158,-0.00019030886147299898
1991,Men,Australia,AUS,0.1359955535825608,0.006289553540029691,0.0036694648560709,0.0003247258968583997,0.009329598167958,-0.00016975572265780052
1992,Men,Australia,AUS,0.1424930885326767,0.006497534950115902,0.0040330733868867,0.0003636085308157998,0.0091781614016481,-0.0001514367663098988
1993,Men,Australia,AUS,0.1491420538854161,0.0066489653527394,0.0044413965652465,0.0004083231783598004,0.0090435061958327,-0.00013465520581540033
1994,Men,Australia,AUS,0.155950089307013,0.006808035421596914,0.0049028460951859,0.0004614495299393997,0.0089224232603127,-0.0001210829355199998
1995,Men,Australia,AUS,0.16284075150356,0.006890662196546993,0.0054259390678666,0.0005230929726807,0.0088135288853352,-0.00010889437497750044
1996,Men,Australia,AUS,0.1697468452447764,0.006906093741216396,0.0060224352105998,0.0005964961427332004,0.0087162618256974,-9.726705963779975e-05
1997,Men,Australia,AUS,0.1766955804543772,0.006948735209600793,0.0066870708638663,0.0006646356532665001,0.0086285841062488,-8.767771944860094e-05
1998,Men,Australia,AUS,0.1836392496354469,0.0069436691810697004,0.0074123153830268,0.0007252445191605001,0.0085535855868239,-7.499851942490039e-05
1999,Men,Australia,AUS,0.1906410121324719,0.007001762497024999,0.0082031495119775,0.0007908341289506998,0.0084885066295507,-6.507895727319961e-05
2000,Men,Australia,AUS,0.1977352352431273,0.007094223110655412,0.0090646684362055,0.000861518924228,0.0084336412289886,-5.486540056210028e-05
2001,Men,Australia,AUS,0.2048627775074822,0.007127542264354886,0.009989475252993,0.000924806816787499,0.0083932229481557,-4.0418280832899e-05
2002,Men,Australia,AUS,0.2119188992054855,0.00705612169800332,0.0109693979798404,0.000979922726847401,0.0083598092189646,-3.3413729191101096e-05
2003,Men,Australia,AUS,0.2188358768575055,0.006916977652019984,0.0119822953701927,0.0010128973903522995,0.0083344621660128,-2.5347052951799412e-05
2004,Men,Australia,AUS,0.22556139622356,0.006725519366054505,0.0130197723553221,0.0010374769851294006,0.0083119483769139,-2.2513789098899117e-05
2005,Men,Australia,AUS,0.2320635390409479,0.006502142817387896,0.0140779088538706,0.0010581364985484988,0.0082947717351317,-1.717664178220099e-05
2006,Men,Australia,AUS,0.2382877548129962,0.006224215772048292,0.0151309797182333,0.001053070864362701,0.0082872835372067,-7.488197924999246e-06
2007,Men,Australia,AUS,0.2441876202387818,0.005899865425785605,0.0161666090055214,0.001035629287288101,0.0082946851733748,7.401636168099732e-06
2008,Men,Australia,AUS,0.2497420959713261,0.005554475732544306,0.0171794747815156,0.0010128657759941977,0.0083203627448025,2.5677571427700288e-05
2009,Men,Australia,AUS,0.2548737144120963,0.005131618440770175,0.0181521541858275,0.0009726794043119005,0.0083634905168634,4.312777206090003e-05
2010,Men,Australia,AUS,0.2595937377433287,0.004720023331232448,0.0190735404953024,0.0009213863094749003,0.0084300280071307,6.653749026729917e-05
2011,Men,Australia,AUS,0.2639948105514423,0.004401072808113582,0.0199443940417874,0.0008708535464850009,0.0085201035097866,9.007550265589977e-05
2012,Men,Australia,AUS,0.2682608092089768,0.00426599865753452,0.0207609920784102,0.0008165980366228003,0.0086388621764169,0.00011875866663030137
2013,Men,Australia,AUS,0.2726623388858585,0.004401529676881677,0.0215507383294543,0.0007897462510440996,0.0087805144990322,0.00014165232261529985
2014,Men,Australia,AUS,0.2772429713288302,0.004580632442971688,0.02234496361762,0.0007942252881656987,0.0089411830095394,0.00016066851050719998
2015,Men,Australia,AUS,0.2820167045715284,0.004773733242698197,0.0231397515554759,0.0007947879378559022,0.0091197908033841,0.00017860779384469908
2016,Men,Australia,AUS,0.2868968885153616,0.004880183943833216,0.0239363470035021,0.0007965954480262001,0.0093125586216776,0.0001927678182935006
2017,Men,Australia,AUS,0.2917227983819038,0.0048259098665421885,0.0247409999104757,0.0008046529069735998,0.0095284888494282,0.00021593022775059922
2018,Men,Australia,AUS,0.2963554126494395,0.004632614267535695,0.0255544954222941,0.0008134955118183976,0.0097684101351719,0.0002399212857437001
2019,Men,Australia,AUS,0.300784398861222,0.004428986211782504,0.0263837079349121,0.0008292125126179994,0.0100348868259735,0.0002664766908015998
2020,Men,Australia,AUS,0.3051628800807403,0.004378481219518282,0.0272309742285812,0.0008472662936691022,0.0103242714616344,0.0002893846356609008
2021,Men,Australia,AUS,0.3095265808120194,0.004363700731279119,0.0281225104141191,0.0008915361855378993,0.0106360666925036,0.0003117952308691989
2022,Men,Australia,AUS,0.3139058822297138,0.004379301417694381,0.0290717688356138,0.0009492584214947017,0.010967145379793,0.000331078687289401
