Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,India,IND,0.0021070468707053,,0.00019166714228415505,,0.5253208424650628,
1981,Men,India,IND,0.0022822803209945,0.00017523345028919992,0.000196072696153072,4.4055538689169536e-06,0.5132685864291827,-0.012052256035880116
1982,Men,India,IND,0.0024739397918838,0.00019165947088930005,0.0002013050747937993,5.232378640727313e-06,0.5011391177586739,-0.012129468670508792
1983,Men,India,IND,0.0026831130312585,0.00020917323937470018,0.0002073116152908948,6.006540497095482e-06,0.4890422787504349,-0.012096839008239046
1984,Men,India,IND,0.0029100351806175,0.00022692214935900006,0.00021398583865799635,6.674223367101559e-06,0.4770873577222284,-0.0119549210282065
1985,Men,India,IND,0.003155407613289,0.00024537243267149997,0.0002213418526388656,7.356013980869253e-06,0.4653690052774393,-0.011718352444789082
1986,Men,India,IND,0.003420273196244,0.0002648655829549998,0.00022935544911570653,8.013596476840921e-06,0.4539574872974514,-0.011411517979987906
1987,Men,India,IND,0.0037072516767373,0.0002869784804932999,0.0002383132965392945,8.957847423587983e-06,0.442926466691489,-0.011031020605962394
1988,Men,India,IND,0.0040189016381873,0.0003116499614500001,0.00024833056610074967,1.0017269561455157e-05,0.4323157148714391,-0.01061075182004989
1989,Men,India,IND,0.0043585045447256,0.00033960290653829977,0.00025968668797126965,1.1356121870519987e-05,0.4221603962411635,-0.010155318630275578
1990,Men,India,IND,0.0047284988974791,0.00036999435275350025,0.00027252657787591155,1.2839889904641896e-05,0.4124716422316709,-0.00968875400949265
1991,Men,India,IND,0.0051311644598911,0.00040266556241199975,0.0002868581732439224,1.4331595368010828e-05,0.4031570488851539,-0.009314593346516964
1992,Men,India,IND,0.005570200219173,0.0004390357592819003,0.0003028058551341776,1.594768189025524e-05,0.394228051390351,-0.008928997494802915
1993,Men,India,IND,0.0060496909805179,0.00047949076134490027,0.0003204040591149949,1.759820398081728e-05,0.3856997292413688,-0.008528322148982193
1994,Men,India,IND,0.0065761140664117,0.0005264230858937997,0.000339836443728656,1.9432384613661123e-05,0.3775669835811971,-0.008132745660171692
1995,Men,India,IND,0.0071618461954786,0.0005857321290668998,0.0003614486980909681,2.1612254362312093e-05,0.3696550052164842,-0.007911978364712913
1996,Men,India,IND,0.0078159815565084,0.0006541353610297999,0.0003858847414091226,2.4436043318154478e-05,0.3617640879998625,-0.007890917216621718
1997,Men,India,IND,0.0085522544799849,0.0007362729234764998,0.0004132061035466426,2.7321362137520022e-05,0.3536769274137309,-0.00808716058613157
1998,Men,India,IND,0.0093781745588416,0.0008259200788566998,0.0004439276119604735,3.0721508413830885e-05,0.3453030416186526,-0.008373885795078306
1999,Men,India,IND,0.0102985559387411,0.0009203813798995004,0.000478687750372126,3.476013841165253e-05,0.3366922674158854,-0.00861077420276718
2000,Men,India,IND,0.0113118223503185,0.0010132664115774011,0.0005172753831938288,3.858763282170273e-05,0.3279335302203873,-0.008758737195498134
2001,Men,India,IND,0.0124123292852364,0.0011005069349178994,0.0005597575016226611,4.2482118428832324e-05,0.3191085864064321,-0.00882494381395521
2002,Men,India,IND,0.0136055064371037,0.0011931771518673001,0.0006067439121798697,4.698641055720862e-05,0.3101656159853737,-0.008942970421058405
2003,Men,India,IND,0.0148855397526695,0.001280033315565799,0.0006584630229478676,5.171911076799795e-05,0.301121849523165,-0.009043766462208669
2004,Men,India,IND,0.0162451280940993,0.0013595883414297995,0.0007145451049241126,5.608208197624496e-05,0.2920182511450808,-0.009103598378084221
2005,Men,India,IND,0.0176737440339132,0.0014286159398139014,0.0007757460661951385,6.120096127102586e-05,0.2829286959262058,-0.009089555218875
2006,Men,India,IND,0.0191732554557922,0.001499511421878999,0.0008428787437540793,6.713267755894083e-05,0.2736861450804012,-0.009242550845804609
2007,Men,India,IND,0.0207469703960202,0.001573714940228,0.0009169273283157046,7.40485845616253e-05,0.2641894278300097,-0.009496717250391473
2008,Men,India,IND,0.0223772540878986,0.0016302836918784015,0.0009966786834888514,7.975135517314684e-05,0.2544541312811666,-0.009735296548843086
