Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,Japan,JPN,0.0088036723408116,,0.00010191155940117376,,0.0726891295165158,
1981,Men,Japan,JPN,0.0093119199956669,0.0005082476548553001,0.00010634714609189076,4.435586690716998e-06,0.0714943660719998,-0.001194763444515995
1982,Men,Japan,JPN,0.0098538057676082,0.0005418857719412997,0.0001115245637121132,5.1774176202224424e-06,0.0703366857080044,-0.0011576803639953975
1983,Men,Japan,JPN,0.0104288203815965,0.0005750146139882999,0.00011722638343777604,5.701819725662842e-06,0.0692165122554279,-0.0011201734525765061
1984,Men,Japan,JPN,0.0110361379126906,0.0006073175310941006,0.00012347003760273235,6.243654164956309e-06,0.0681166444156608,-0.0010998678397670936
1985,Men,Japan,JPN,0.0116792129250731,0.0006430750123824994,0.00013035969724737678,6.88965964464443e-06,0.0670273312993413,-0.0010893131163195041
1986,Men,Japan,JPN,0.0123624109910733,0.0006831980660002013,0.00013801931636323936,7.659619115862583e-06,0.0659544511275526,-0.0010728801717886927
1987,Men,Japan,JPN,0.0130898039621694,0.0007273929710960997,0.00014664938553937478,8.630069176135418e-06,0.0648663071612856,-0.0010881439662670106
1988,Men,Japan,JPN,0.0138524950614303,0.0007626910992608992,0.00015629042965214254,9.641044112767758e-06,0.0637694399391013,-0.0010968672221843
1989,Men,Japan,JPN,0.0146518527398482,0.0007993576784179005,0.00016715219061109063,1.0861760958948092e-05,0.0626852781673186,-0.0010841617717826935
1990,Men,Japan,JPN,0.0154770028875719,0.0008251501477236998,0.00017917753557840927,1.2025344967318634e-05,0.0616373863156519,-0.0010478918516666977
1991,Men,Japan,JPN,0.0163304928102917,0.0008534899227198006,0.00019226994110091477,1.3092405522505498e-05,0.0606285618868745,-0.001008824428777401
1992,Men,Japan,JPN,0.0172086924806344,0.0008781996703427011,0.00020645406640272497,1.41841253018102e-05,0.0596710486523172,-0.0009575132345573042
1993,Men,Japan,JPN,0.0181058730349072,0.0008971805542727987,0.00022155803814450183,1.510397174177687e-05,0.0587685731171782,-0.0009024755351389954
1994,Men,Japan,JPN,0.0190374614341614,0.0009315883992541997,0.00023777547970961165,1.621744156510982e-05,0.0579400566650375,-0.0008285164521407012
1995,Men,Japan,JPN,0.0200108725083716,0.0009734110742102009,0.0002558500154965636,1.8074535786951972e-05,0.0571570050673781,-0.000783051597659401
