Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,Singapore,SGP,0.0220347628015175,,0.00027336828518261614,,0.0992704182511702,
1981,Men,Singapore,SGP,0.0222704791814315,0.00023571637991399996,0.0002713929590902297,-1.975326092386418e-06,0.094785024626085,-0.004485393625085196
1982,Men,Singapore,SGP,0.0225407397938917,0.0002702606124601985,0.0002716955910483179,3.0263195808816635e-07,0.0904446195677833,-0.004340405058301702
1983,Men,Singapore,SGP,0.0228395566698459,0.0002988168759542019,0.0002740871528117563,2.391561763438418e-06,0.0862508580717284,-0.004193761496054896
1984,Men,Singapore,SGP,0.0231609029721159,0.00032134630226999736,0.00027849368776973563,4.406534957979321e-06,0.0821866164845762,-0.004064241587152198
1985,Men,Singapore,SGP,0.0234983094063136,0.00033740643419770053,0.000284910938315982,6.417250546246391e-06,0.078256277596427,-0.0039303388881491985
1986,Men,Singapore,SGP,0.023863315271181,0.0003650058648674015,0.0002936339740031696,8.723035687187557e-06,0.0744788980302673,-0.0037773795661597
1987,Men,Singapore,SGP,0.0242700380354677,0.00040672276428669815,0.00030485671761779195,1.1222743614622375e-05,0.0708702979498549,-0.0036086000804124024
1988,Men,Singapore,SGP,0.0247161131005896,0.00044607506512190157,0.0003188640243551048,1.4007306737312867e-05,0.067447187625053,-0.0034231103248019007
1989,Men,Singapore,SGP,0.0252152478635875,0.0004991347629978993,0.0003361286236003157,1.726459924521087e-05,0.0642337135845458,-0.0032134740405072026
1990,Men,Singapore,SGP,0.025761399554326,0.0005461516907384993,0.0003567802734920133,2.065164989169759e-05,0.061260305479217,-0.002973408105328798
1991,Men,Singapore,SGP,0.026367480464696,0.00060608091037,0.00038047509904756574,2.369482555555246e-05,0.0585303756248101,-0.0027299298544068984
1992,Men,Singapore,SGP,0.0270429745847708,0.0006754941200747995,0.0004076149865824823,2.713988753491657e-05,0.0560439983663655,-0.002486377258444604
1993,Men,Singapore,SGP,0.0278007736245762,0.000757799039805402,0.00043822643284583264,3.0611446263350325e-05,0.0538098402357558,-0.0022341581306096966
