Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,United Kingdom,GBR,0.0572287651851768,,0.001431954257345,,0.0186962311874396,
1981,Men,United Kingdom,GBR,0.0610529339070721,0.0038241687218953033,0.0015260034017926,9.404914444760006e-05,0.0177761761485966,-0.0009200550388429977
1982,Men,United Kingdom,GBR,0.0651134207001967,0.004060486793124596,0.0016313760856784,0.00010537268388580005,0.0169089454439364,-0.0008672307046602018
1983,Men,United Kingdom,GBR,0.0694052018738344,0.004291781173637696,0.0017463626592981,0.0001149865736197,0.0160963726126963,-0.0008125728312400986
1984,Men,United Kingdom,GBR,0.0739498107211064,0.004544608847272008,0.0018721866541024,0.00012582399480429987,0.0153382677228829,-0.0007581048898134008
1985,Men,United Kingdom,GBR,0.0787348990140731,0.004785088292966699,0.0020081340560563,0.00013594740195390026,0.0146367837523189,-0.000701483970564
1986,Men,United Kingdom,GBR,0.0837727867531921,0.005037887739118993,0.0021560802441633,0.00014794618810699996,0.0139893541854046,-0.0006474295669142999
1987,Men,United Kingdom,GBR,0.0890761850381024,0.0053033982849103045,0.0023189038018538,0.0001628235576905,0.013397759763147,-0.0005915944222575995
1988,Men,United Kingdom,GBR,0.0947174604388856,0.0056412754007831994,0.0024975049190727,0.00017860111721889997,0.0128559112671041,-0.0005418484960429005
1989,Men,United Kingdom,GBR,0.1007423386334571,0.006024878194571509,0.0026976904527609,0.00020018553368819983,0.0123672993622852,-0.0004886119048189003
1990,Men,United Kingdom,GBR,0.1071635623507143,0.006421223717257188,0.0029213143790258,0.0002236239262648999,0.0119236629539804,-0.0004436364083048004
1991,Men,United Kingdom,GBR,0.1139450456210447,0.006781483270330402,0.0031692460290183,0.0002479316499925002,0.0115268539725346,-0.00039680898144579986
1992,Men,United Kingdom,GBR,0.121061563197751,0.007116517576706297,0.0034413934936908,0.00027214746467250006,0.0111692927029529,-0.0003575612695817
1993,Men,United Kingdom,GBR,0.1284735745097103,0.007412011311959316,0.0037415868970888,0.0003001934033979997,0.0108520336168481,-0.00031725908610480066
1994,Men,United Kingdom,GBR,0.1361899940861479,0.007716419576437594,0.0040769927358353,0.00033540583874649976,0.0105717040447773,-0.00028032957207079975
1995,Men,United Kingdom,GBR,0.144125987684069,0.007935993597921104,0.0044552220483167,0.0003782293124814,0.0103305880517552,-0.00024111599302209866
1996,Men,United Kingdom,GBR,0.1522356371441717,0.008109649460102702,0.0048864193647387,0.00043119731642200006,0.0101233466755983,-0.00020724137615690114
1997,Men,United Kingdom,GBR,0.1604775414273772,0.008241904283205481,0.0053671801429594,0.0004807607782206999,0.0099516700241877,-0.0001716766514105999
1998,Men,United Kingdom,GBR,0.1687517043971393,0.008274162969762106,0.0058867271393429,0.0005195469963835001,0.009818405404464,-0.00013326461972370043
1999,Men,United Kingdom,GBR,0.177069469354563,0.008317764957423701,0.0064484896389393,0.0005617624995964002,0.009718659618075,-9.97457863889991e-05
2000,Men,United Kingdom,GBR,0.1854099233430695,0.008340453988506497,0.0070618443590323,0.000613354720093,0.0096532209336182,-6.543868445679953e-05
2001,Men,United Kingdom,GBR,0.1936180698294983,0.008208146486428813,0.0077268209798582,0.0006649766208259005,0.0096226432545289,-3.05776790893008e-05
2002,Men,United Kingdom,GBR,0.2014700973917492,0.007852027562250896,0.0084491138408025,0.0007222928609442996,0.0096175553382578,-5.0879162710997655e-06
2003,Men,United Kingdom,GBR,0.2088911480813977,0.00742105068964849,0.0092182949649382,0.0007691811241357007,0.009635572962874,1.801762461619942e-05
2004,Men,United Kingdom,GBR,0.2157817130952052,0.006890565013807498,0.0100327853467256,0.0008144903817873996,0.0096682339037197,3.266094084570029e-05
2005,Men,United Kingdom,GBR,0.2220819021689262,0.006300189073721013,0.0109009752554187,0.0008681899086931,0.0097207774647433,5.2543561023599486e-05
2006,Men,United Kingdom,GBR,0.2277791827526397,0.005697280583713493,0.0118032773123431,0.0009023020569243999,0.0098012265571432,8.044909239990003e-05
2007,Men,United Kingdom,GBR,0.2328241962814816,0.005045013528841902,0.0127338087706296,0.0009305314582864991,0.0099147181487023,0.0001134915915591006
2008,Men,United Kingdom,GBR,0.2372250739333196,0.004400877651837998,0.0136923153290327,0.0009585065584031011,0.0100603831595531,0.00014566501085080084
2009,Men,United Kingdom,GBR,0.2409504869590566,0.0037254130257370066,0.0146657049587656,0.0009733896297328994,0.0102410569971039,0.0001806738375507988
2010,Men,United Kingdom,GBR,0.2440395793767617,0.0030890924177051082,0.0156397923341041,0.0009740873753385018,0.0104621452166667,0.00022108821956279973
2011,Men,United Kingdom,GBR,0.2465352595181861,0.0024956801414244,0.0166025112814598,0.0009627189473556987,0.0107253239946506,0.0002631787779839006
2012,Men,United Kingdom,GBR,0.248649062085632,0.002113802567445894,0.0175418863142746,0.0009393750328147987,0.0110327452416043,0.000307421246953701
2013,Men,United Kingdom,GBR,0.2506186232760945,0.0019695611904625154,0.0184682455066314,0.0009263591923568022,0.0113756823395594,0.00034293709795509865
2014,Men,United Kingdom,GBR,0.2525655310058383,0.0019469077297437631,0.019414778678309,0.0009465331716775986,0.0117504821508813,0.0003747998113219006
2015,Men,United Kingdom,GBR,0.2545287664693384,0.0019632354635001348,0.0203695414184039,0.0009547627400948999,0.0121477555489635,0.0003972733980821992
2016,Men,United Kingdom,GBR,0.2564828973767087,0.0019541309073702884,0.0213397264626651,0.0009701850442612008,0.0125633364060276,0.0004155808570641007
2017,Men,United Kingdom,GBR,0.2582806322749005,0.001797734898191794,0.0223214090994079,0.0009816826367427985,0.013001339503803,0.00043800309777539993
2018,Men,United Kingdom,GBR,0.2597965036416091,0.0015158713667086099,0.023314627005467,0.0009932179060591004,0.0134688091103654,0.00046746960656240087
2019,Men,United Kingdom,GBR,0.2610975900518533,0.0013010864102441788,0.0243370030412453,0.0010223760357783024,0.0139695661764972,0.0005007570661317989
2020,Men,United Kingdom,GBR,0.2622986854008945,0.0012010953490412257,0.0253880315836719,0.0010510285424265992,0.0145030194754853,0.0005334532989880996
2021,Men,United Kingdom,GBR,0.2634399957156179,0.001141310314723365,0.0264693609715523,0.0010813293878804003,0.0150701523881388,0.0005671329126535011
2022,Men,United Kingdom,GBR,0.2645785948091722,0.0011385990935542933,0.0276119233591888,0.001142562387636499,0.0156669852400574,0.0005968328519185984
2023,Men,United Kingdom,GBR,0.2657702963049734,0.0011917014958012229,0.0288219581557471,0.0012100347965583007,0.0162911213044397,0.0006241360643823024
2024,Men,United Kingdom,GBR,0.2670253840689128,0.0012550877639393998,0.0300984442324922,0.0012764860767451001,0.0169455520940636,0.0006544307896238985
1980,Women,United Kingdom,GBR,0.0846362573758535,,0.0066738719264703,,0.0441415185531824,
1981,Women,United Kingdom,GBR,0.0893038172861361,0.004667559910282601,0.0070811915543082,0.00040731962783789946,0.0420980164624862,-0.002043502090696203
1982,Women,United Kingdom,GBR,0.094176037407995,0.004872220121858908,0.007517038173304,0.0004358466189958001,0.040133240116325,-0.0019647763461611983
1983,Women,United Kingdom,GBR,0.0992548580414824,0.005078820633487399,0.0079797666450062,0.00046272847170220066,0.0382584827873391,-0.0018747573289858988
1984,Women,United Kingdom,GBR,0.1045050953052905,0.005250237263808091,0.0084661218700011,0.00048635522499490026,0.0364623076771029,-0.0017961751102361992
1985,Women,United Kingdom,GBR,0.1098951101109791,0.005390014805688612,0.0089781517924947,0.0005120299224935995,0.0347428107444382,-0.0017194969326647033
1986,Women,United Kingdom,GBR,0.1154249184816193,0.005529808370640196,0.0095160467388016,0.0005378949463068997,0.0331057395120625,-0.001637071232375699
1987,Women,United Kingdom,GBR,0.121082832906328,0.005657914424708699,0.0100785833607677,0.0005625366219661008,0.0315414148492023,-0.0015643246628601962
1988,Women,United Kingdom,GBR,0.1268878310781672,0.005804998171839201,0.0106708547311447,0.000592271370377,0.0300533708199086,-0.0014880440292937037
1989,Women,United Kingdom,GBR,0.1328616597330475,0.005973828654880303,0.011299101925564,0.0006282471944192985,0.0286336951545154,-0.0014196756653931976
