Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,United States of America,USA,0.1084049201228716,,0.0043518901322208,,0.0150318056733497,
1981,Men,United States of America,USA,0.1135181856480896,0.005113265525218,0.0046198070857772,0.00026791695355639963,0.0143907680841529,-0.0006410375891967995
1982,Men,United States of America,USA,0.11884028819328,0.005322102545190402,0.0049095606975197,0.00028975361174250064,0.0137839589191892,-0.0006068091649637005
1983,Men,United States of America,USA,0.124368847079879,0.0055285588865989915,0.0052160807035574,0.0003065200060377001,0.0132160675678178,-0.0005678913513713999
1984,Men,United States of America,USA,0.1301100679834892,0.005741220903610206,0.0055390437293327,0.0003229630257752993,0.0126880970377417,-0.0005279705300761002
1985,Men,United States of America,USA,0.1360502483352162,0.005940180351726998,0.005879372374301,0.0003403286449683001,0.0122011301014409,-0.0004869669363007992
1986,Men,United States of America,USA,0.1421863080677395,0.006136059732523291,0.0062390701505265,0.0003596977762255005,0.0117558511123428,-0.00044527898909810064
1987,Men,United States of America,USA,0.1485507770331917,0.006364468965452202,0.0066272847197333,0.0003882145692067993,0.0113554915315551,-0.0004003595807876986
1988,Men,United States of America,USA,0.1552236882407402,0.00667291120754851,0.0070562407383188,0.00042895601858550063,0.0109945789361483,-0.0003609125954068017
1989,Men,United States of America,USA,0.1622410553468444,0.007017367106104205,0.0075481409974928,0.000491900259174,0.0106730616793212,-0.00032151725682709985
1990,Men,United States of America,USA,0.1696459142836734,0.00740485893682899,0.0081236666550136,0.0005755256575208003,0.0103935601935634,-0.0002795014857578
1991,Men,United States of America,USA,0.1774595937494826,0.007813679465809215,0.0087918585057982,0.0006681918507845993,0.0101559112315672,-0.00023764896199619974
1992,Men,United States of America,USA,0.1856757417890316,0.008216148039548982,0.0095636285489294,0.0007717700431311997,0.0099593320170465,-0.00019657921452070036
1993,Men,United States of America,USA,0.1943041739826979,0.008628432193666297,0.0104657878906945,0.0009021593417651002,0.0097987227526392,-0.00016060926440729893
1994,Men,United States of America,USA,0.2033539977472856,0.009049823764587711,0.0115205932797741,0.0010548053890796008,0.0096696824753116,-0.00012904027732760052
1995,Men,United States of America,USA,0.2127699090464478,0.009415911299162194,0.012751989579745,0.0012313962999708997,0.0095634322048263,-0.00010625027048529953
1996,Men,United States of America,USA,0.2225092718471604,0.009739362800712609,0.0141879019608658,0.001435912381120799,0.0094753764357602,-8.805576906610081e-05
1997,Men,United States of America,USA,0.2325610429400388,0.010051771092878387,0.0158179618131323,0.0016300598522665,0.0094014462736209,-7.393016213930008e-05
1998,Men,United States of America,USA,0.2428002092046235,0.01023916626458471,0.0176147776795993,0.001796815866466999,0.0093431811358466,-5.826513777429897e-05
1999,Men,United States of America,USA,0.2532967480195023,0.010496538814878803,0.0195933835620884,0.0019786058824891005,0.0092953968999397,-4.7784235906900285e-05
2000,Men,United States of America,USA,0.2640777653906362,0.010781017371133905,0.0217575376881325,0.0021641541260441002,0.0092598432960705,-3.5553603869200104e-05
2001,Men,United States of America,USA,0.275038047500187,0.0109602821095508,0.0240940230005126,0.0023364853123801,0.0092352061143746,-2.463718169590061e-05
2002,Men,United States of America,USA,0.2859957226428634,0.01095767514267637,0.0265704389561571,0.0024764159556445,0.009216199232644,-1.9006881730598488e-05
2003,Men,United States of America,USA,0.2968280145352309,0.010832291892367507,0.0291265074624184,0.002556068506261302,0.0091996393222525,-1.6559910391501093e-05
2004,Men,United States of America,USA,0.3074234107014824,0.010595396166251492,0.0317431327337168,0.0026166252712984013,0.0091813161430901,-1.8323179162399103e-05
2005,Men,United States of America,USA,0.317626323933664,0.010202913232181643,0.034396733945691,0.0026536012119742006,0.0091656045111657,-1.571163192439981e-05
2006,Men,United States of America,USA,0.3272941286988755,0.009667804765211452,0.0370327702497793,0.0026360363040882975,0.0091603142282146,-5.290282951101594e-06
2007,Men,United States of America,USA,0.3362899059595507,0.008995777260675242,0.039585243258717,0.0025524730089376974,0.0091734710581059,1.3156829891300056e-05
2008,Men,United States of America,USA,0.3445103217897865,0.008220415830235805,0.0420138536584142,0.0024286103996972036,0.0092110897705254,3.761871241950154e-05
2009,Men,United States of America,USA,0.3517997151917038,0.007289393401917255,0.0442561560960146,0.002242302437600395,0.0092746308119129,6.354104138749962e-05
2010,Men,United States of America,USA,0.3581564394074366,0.006356724215732801,0.0462629484192611,0.0020067923232465062,0.0093706222415313,9.599142961840001e-05
2011,Men,United States of America,USA,0.3636319750226182,0.005475535615181604,0.048028269852501,0.0017653214332398956,0.009500379288631,0.00012975704709970032
2012,Men,United States of America,USA,0.3683808010921451,0.0047488260695269235,0.0495160796114838,0.0014878097589827999,0.0096667190660859,0.0001663397774548988
2013,Men,United States of America,USA,0.3727699067312139,0.004389105639068802,0.0507970671474145,0.0012809875359307,0.0098597593714628,0.00019304030537690108
2014,Men,United States of America,USA,0.3769277555564427,0.004157848825228794,0.0519315838987798,0.0011345167513652984,0.0100748281725029,0.00021506880104009939
2015,Men,United States of America,USA,0.3808908770010116,0.003963121444568896,0.0529229446691198,0.0009913607703400037,0.0103038544978705,0.0002290263253675994
2016,Men,United States of America,USA,0.3846644410460665,0.0037735640450549113,0.0537977734941313,0.0008748288250114977,0.0105441537911381,0.00024029929326760055
2017,Men,United States of America,USA,0.388056899014517,0.003392457968450502,0.0545764363102372,0.0007786628161059045,0.0107983808807986,0.0002542270896605005
2018,Men,United States of America,USA,0.3909596959375726,0.002902796923055617,0.0552879153058807,0.0007114789956434997,0.01107204891862,0.0002736680378214
2019,Men,United States of America,USA,0.393447741423557,0.002488045485984358,0.0559659310928708,0.0006780157869900952,0.0113685066893512,0.0002964577707311993
2020,Men,United States of America,USA,0.3956523866523794,0.0022046452288224105,0.0566282435257123,0.0006623124328415039,0.0116879281209858,0.0003194214316345999
2021,Men,United States of America,USA,0.3977077626632563,0.002055376010876908,0.0573086398155896,0.0006803962898772956,0.0120289433347102,0.0003410152137244011
2022,Men,United States of America,USA,0.3996148782597549,0.0019071155964985875,0.0580007621056985,0.0006921222901089055,0.0123872561831955,0.0003583128484852989
2023,Men,United States of America,USA,0.4015331236106199,0.0019182453508649888,0.0587292672749679,0.0007285051692693945,0.0127629744902533,0.0003757183070577999
2024,Men,United States of America,USA,0.4034576189734731,0.001924495362853218,0.0594932246495827,0.0007639573746148001,0.0131593940302396,0.00039641953998630075
1980,Women,United States of America,USA,0.1391387717931609,,0.0170343553456755,,0.0516616721424868,
