Year,Sex,Country/Region/World,ISO,Prevalence of BMI>=30 kg/m² (obesity),YoY_Obesity_Prevalence_Diff,Prevalence of BMI >=40 kg/m² (morbid obesity),YoY_Morbid_Obesity_Prevalence_Diff,Prevalence of BMI<18.5 kg/m² (underweight),YoY_Underweight_Prevalence_Diff
1980,Men,World,,0.0320473695032134,,0.0009007141858363942,,0.17307946572753,
1981,Men,World,,0.0330111356716556,0.0009637661684422025,0.0009314502950765796,3.073610924018543e-05,0.1705297053172791,-0.002549760410250901
1982,Men,World,,0.0340250595595965,0.0010139238879408943,0.0009678724993877788,3.642220431119918e-05,0.1678869151993004,-0.0026427901179786883
1983,Men,World,,0.0350678562448521,0.0010427966852556009,0.0010087771764701,4.090467708232123e-05,0.1651539564816841,-0.0027329587176163073
1984,Men,World,,0.0361680525711837,0.0011001963263315984,0.0010546841611047,4.5906984634600054e-05,0.1624188141384177,-0.0027351423432664113
1985,Men,World,,0.0373304968982001,0.0011624443270164056,0.0011059032321902,5.1219071085500034e-05,0.1597406227766937,-0.0026781913617239805
1986,Men,World,,0.0385681789100811,0.001237682011881,0.0011632391610335,5.7335928843299955e-05,0.1571065846852887,-0.002634038091405
1987,Men,World,,0.0398834020702122,0.0013152231601311001,0.0012275451562935,6.430599526000003e-05,0.1545158852976196,-0.002590699387669121
1988,Men,World,,0.0412506356338115,0.0013672335635992947,0.0012985967790213,7.105162272779981e-05,0.1519809005082352,-0.0025349847893843813
1989,Men,World,,0.0426945149390001,0.0014438793051886056,0.0013790704224522,8.04736434309001e-05,0.1495036633562991,-0.002477237151936096
1990,Men,World,,0.0442215087197463,0.0015269937807461942,0.0014695651727321,9.049475027990005e-05,0.1470723892821851,-0.0024312740741140038
1991,Men,World,,0.0458643709286409,0.0016428622088946049,0.0015722399158618,0.0001026747431297,0.144709344949927,-0.0023630443322581185
1992,Men,World,,0.0475982222771374,0.001733851348496497,0.0016871265170191,0.00011488660115729996,0.1424672225565118,-0.0022421223934151746
1993,Men,World,,0.0493758482929848,0.0017776260158474042,0.0018141404884407,0.0001270139714216001,0.1403732246785846,-0.0020939978779272173
1994,Men,World,,0.051265868376923,0.0018900200839381959,0.0019552707054335,0.00014113021699279998,0.1384178827398486,-0.001955341938736005
1995,Men,World,,0.0532656998220354,0.001999831445112399,0.0021125783235835,0.00015730761815000013,0.1365489482846261,-0.0018689344552224874
1996,Men,World,,0.0553856240536669,0.002119924231631501,0.0022910799851505,0.0001785016615669997,0.1346923293457217,-0.001856618938904403
1997,Men,World,,0.0576180804241815,0.002232456370514599,0.0024888870842955,0.00019780709914499987,0.1327880040687912,-0.0019043252769304908
1998,Men,World,,0.0599239938694199,0.0023059134452384014,0.0027034383305683,0.00021455124627280022,0.1308490373001807,-0.0019389667686105228
1999,Men,World,,0.0623414518372725,0.0024174579678526015,0.0029370055100138,0.0002335671794455002,0.128858898332857,-0.0019901389673236958
2000,Men,World,,0.0648775851419639,0.0025361333046914,0.0031907751275591,0.00025376961754529966,0.1268256536082996,-0.0020332447245574037
2001,Men,World,,0.0675183034483531,0.002640718306389206,0.0034643259392215,0.00027355081166240006,0.1247389989714216,-0.002086654636877988
2002,Men,World,,0.0702240476371208,0.002705744188767692,0.003753892910829,0.00028956697160749997,0.1225109802623325,-0.002228018709089105
2003,Men,World,,0.072937648610897,0.002713600973776195,0.0040528598453695,0.0002989669345405,0.1201974395018598,-0.0023135407604726876
2004,Men,World,,0.0756973760986376,0.0027597274877406014,0.004363176805574,0.00031031696020449983,0.1178724546463596,-0.0023249848555002006
2005,Men,World,,0.0785006139019634,0.0028032378033258087,0.0046849771575207,0.00032180035194670064,0.1155009461310929,-0.0023715085152667126
2006,Men,World,,0.0813405492998838,0.002839935397920393,0.0050149581427933,0.0003299809852725993,0.1130359662210088,-0.0024649799100840974
2007,Men,World,,0.0841806407035511,0.002840091403667297,0.005348179174993,0.00033322103219970024,0.1104539489384106,-0.0025820172825982007
2008,Men,World,,0.0869575763384916,0.002776935634940511,0.0056800321327547,0.00033185295776170035,0.1078008660833978,-0.0026530828550127977
2009,Men,World,,0.0896567363096768,0.0026991599711851944,0.0060076726579248,0.0003276405251700998,0.1051170533067346,-0.0026838127766631997
2010,Men,World,,0.0922789185576701,0.002622182247993307,0.0063301647898388,0.0003224921319140003,0.1024271756214262,-0.0026898776853084005
2011,Men,World,,0.0948805061449215,0.002601587587251389,0.0066539646182961,0.00032379982845729977,0.0997503527355004,-0.0026768228859258003
2012,Men,World,,0.0974803267875999,0.0025998206426783993,0.0069738677247185,0.00031990310642240026,0.0971081129059863,-0.002642239829514101
2013,Men,World,,0.1000990725010693,0.0026187457134694003,0.0072907737247191,0.0003169060000005998,0.0945119608361366,-0.0025961520698497
2014,Men,World,,0.1028042745455391,0.0027052020444698066,0.0076163509636486,0.00032557723892949995,0.0920090425011919,-0.00250291833494469
2015,Men,World,,0.105643866668257,0.0028395921227178933,0.0079586877343886,0.0003423367707399991,0.089600314827613,-0.0024087276735789004
2016,Men,World,,0.1085667190372356,0.0029228523689786012,0.0083198316881633,0.0003611439537747011,0.0872972778095175,-0.002303037018095505
2017,Men,World,,0.1114318538200336,0.0028651347827979984,0.0086949770488083,0.0003751453606450003,0.0851287481274895,-0.002168529682028006
2018,Men,World,,0.1142200088911058,0.002788155071072204,0.0090894857425562,0.0003945086937478994,0.0830671510419415,-0.0020615970855479976
2019,Men,World,,0.1170850298120854,0.002865020920979608,0.0095271530378616,0.00043766729530539915,0.0811174641467337,-0.0019496868952078028
2020,Men,World,,0.120042492495828,0.0029574626837425982,0.0100116945487968,0.0004845415109352002,0.079308572762346,-0.0018088913843876953
2021,Men,World,,0.123139846905909,0.0030973544100809935,0.0105544837897389,0.0005427892409420997,0.0775756236108548,-0.001732949151491206
2022,Men,World,,0.1264808724815369,0.00334102557562789,0.0111752837416665,0.000620799951927601,0.0759251690894064,-0.001650454521448394
2023,Men,World,,0.130012951956829,0.0035320794752921048,0.0118688201951112,0.0006935364534447,0.0743626292955163,-0.0015625397938900942
2024,Men,World,,0.133673056638066,0.0036601046812370086,0.0126309062687307,0.0007620860736194997,0.0728583423974747,-0.0015042868980416069
1980,Women,World,,0.0675252656394004,,0.0045525181813693,,0.1729633199308959,
1981,Women,World,,0.0684541960326692,0.0009289303932688009,0.0046803400111683,0.00012782182979899966,0.1708455605150512,-0.002117759415844689
1982,Women,World,,0.0694315486920793,0.0009773526594101106,0.0048187512811356,0.0001384112699673,0.1686227123212942,-0.00222284819375701
1983,Women,World,,0.0704149782832452,0.000983429591165888,0.0049647305350157,0.00014597925388010018,0.1663037679678592,-0.002318944353434993
1984,Women,World,,0.071446051196163,0.0010310729129178048,0.0051195950850346,0.00015486455001890043,0.1639603314763415,-0.002343436491517692
1985,Women,World,,0.0725428443905941,0.001096793194431095,0.0052845454311126,0.0001649503460780001,0.1616241470007702,-0.0023361844755712957
1986,Women,World,,0.0737408910926926,0.0011980467020985125,0.0054632405470199,0.0001786951159072998,0.1592641617875158,-0.002359985213254423
1987,Women,World,,0.0750067873401315,0.0012658962474388913,0.0056534701588463,0.00019022961182639953,0.1569065162932108,-0.0023576454943049774
1988,Women,World,,0.0762873856989675,0.0012805983588359965,0.0058504064858243,0.00019693632697800022,0.1545782605127875,-0.0023282557804233106
1989,Women,World,,0.0776294492503178,0.0013420635513503032,0.0060578099623029,0.00020740347647859973,0.152290424623536,-0.002287835889251494
1990,Women,World,,0.0790593278504044,0.001429878600086601,0.006277224970672,0.00021941500836910027,0.1500736137583928,-0.0022168108651432206
1991,Women,World,,0.080621157074921,0.0015618292245166004,0.0065153141904644,0.00023808921979239991,0.1479028425606307,-0.0021707711977621003
1992,Women,World,,0.0822405430054967,0.0016193859305757008,0.0067679369730951,0.0002526227826306999,0.1458402229517013,-0.0020626196089293947
1993,Women,World,,0.0838459470988638,0.0016054040933670966,0.0070258377404316,0.00025790076733650004,0.1439499568882148,-0.0018902660634864954
1994,Women,World,,0.0855619806934542,0.0017160335945904104,0.0073020646984473,0.00027622695801569983,0.1422129573000488,-0.001736999588166005
1995,Women,World,,0.0874045683517485,0.0018425876582942868,0.0076002476087497,0.00029818291030240043,0.1405823606902958,-0.0016305966097529823
1996,Women,World,,0.0893827774562154,0.001978209104466902,0.0079232068364191,0.0003229592276693992,0.1390132975335588,-0.0015690631567370217
1997,Women,World,,0.0914882876048069,0.002105510148591505,0.0082675404640375,0.00034433362761840045,0.1374319807353812,-0.0015813167981775789
1998,Women,World,,0.0936267150969949,0.002138427492187997,0.0086236295788603,0.000356089114822801,0.1358573923138167,-0.0015745884215645212
1999,Women,World,,0.0958386693266953,0.0022119542297003997,0.0089981565845879,0.0003745270057276002,0.1342959013939185,-0.0015614909198981841
2000,Women,World,,0.0981329158158453,0.002294246489149998,0.009393268501971,0.0003951119173830984,0.1327114393021107,-0.0015844620918077923
2001,Women,World,,0.1004944561101758,0.0023615402943304997,0.0098094564215369,0.000416187919565901,0.1310737482635,-0.0016376910386107224
2002,Women,World,,0.1028869373585746,0.0023924812483988034,0.010240579405257,0.00043112298372009923,0.1293174525768389,-0.0017562956866610802
2003,Women,World,,0.1052490336427486,0.002362096284173998,0.0106734410843614,0.00043286167910440085,0.1274606730858552,-0.001856779490983701
2004,Women,World,,0.1076375702178594,0.002388536575110803,0.0111158413966434,0.00044240031228199965,0.1255700042570632,-0.0018906688287920193
2005,Women,World,,0.1100806895111975,0.0024431192933380974,0.0115699282889876,0.00045408689234419965,0.1236261613010608,-0.0019438429560023895
2006,Women,World,,0.1125831908637588,0.002502501352561304,0.0120352817956429,0.000465353506655301,0.1216126969513158,-0.0020134643497450033
2007,Women,World,,0.1151500960627648,0.0025669051990060004,0.0125087538657717,0.0004734720701287994,0.1194957641578296,-0.0021169327934861953
2008,Women,World,,0.1177493108450629,0.0025992147822981038,0.0129856956849908,0.00047694181921910037,0.1172687549189683,-0.0022270092388613077
2009,Women,World,,0.1204108555735117,0.002661544728448789,0.013470889632258,0.0004851939472671988,0.1149707412094048,-0.002298013709563493
2010,Women,World,,0.1231506769217626,0.0027398213482509037,0.013964778186401,0.0004938885541430002,0.1126354367600972,-0.0023353044493076014
2011,Women,World,,0.1259871472850818,0.0028364703633192156,0.0144676274045216,0.0005028492181206011,0.1102831604904409,-0.0023522762696562977
2012,Women,World,,0.1289184687183069,0.0029313214332250814,0.0149757789484683,0.0005081515439467003,0.1079079578783047,-0.0023752026121361958
2013,Women,World,,0.1319306653999122,0.0030121966816052947,0.0154908132745782,0.0005150343261098988,0.1055003559684638,-0.0024076019098409063
2014,Women,World,,0.1350597174251848,0.0031290520252726106,0.0160222754372583,0.0005314621626801019,0.1030932996295537,-0.002407056338910099
2015,Women,World,,0.1383459934815447,0.0032862760563598936,0.0165843587831894,0.0005620833459310977,0.1007104619780238,-0.0023828376515298982
2016,Women,World,,0.1417556621914396,0.0034096687098948975,0.017176973345889,0.0005926145626996004,0.0983811210503363,-0.0023293409276874955
2017,Women,World,,0.1452388679141005,0.0034832057226609203,0.0178015582502048,0.0006245849043158003,0.0961005202727088,-0.0022806007776275117
2018,Women,World,,0.1488000929382535,0.0035612250241529864,0.0184627009516377,0.0006611427014329013,0.0938547654740174,-0.0022457547986913934
2019,Women,World,,0.152450157627605,0.003650064689351501,0.0191687660015783,0.000706065049940599,0.0916812899324638,-0.0021734755415536017
2020,Women,World,,0.1561576584459226,0.0037075008183176106,0.0199160751701747,0.0007473091685963988,0.0896174409597291,-0.0020638489727347054
2021,Women,World,,0.1599559003277532,0.0037982418818305885,0.0207081642563987,0.0007920890862239995,0.0876307906005112,-0.001986650359217898
2022,Women,World,,0.163901229752774,0.003945329425020794,0.0215610961746102,0.0008529319182115011,0.0857083502493412,-0.0019224403511699933
2023,Women,World,,0.1680313620584443,0.004130132305670303,0.0224799449528307,0.0009188487782205018,0.083849025999155,-0.0018593242501862006
2024,Women,World,,0.172358014309779,0.004326652251334717,0.0234614222837781,0.0009814773309473994,0.0820191184059332,-0.0018299075932217967
