Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
2011,0.2058823051405161,1,120.5882305140516,0.0399024068294638
2012,0.7079135883641043,1,205.95427749173166,0.0423919055422884
2013,-0.01272853542657626,1,203.33278117442325,0.0450475208433955
2014,0.08250475455713202,1,220.10870237863807,0.0478711605432426
2015,0.07927077862985987,1,237.5568905994008,0.05091118664906415
2016,-0.42366957075458045,1,136.91126472935983,0.0541386874506134
2017,1.0671999804225978,1,283.02296376816577,0.05750478078944885
2018,0.42445899590339375,1,403.154606786804,0.06095004578579245
2019,0.3250240930013728,1,534.1895671970101,0.0644611055819931
2020,0.5125494526521431,2,807.9881374763229,0.0680500687418243
2021,0.109130672602663,3,896.164426374087,0.07173928320703675
2022,0.019733146169642102,5,913.8485699917604,0.0755290171065232
2023,0.056362999701014306,5,965.3558166689783,0.07943657588310425
2024,0.020764056958961087,5,985.4005198319574,0.083459105784544
