Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
1980,0.1481442554173238,2,366.71093107041685,0.12377184595801624
1981,0.21548211747365878,4,445.7305789982072,0.1296476990104882
1982,0.27908264162432245,4,570.1262464377655,0.13574934448682066
1983,0.7577478387974129,4,1002.1381775176636,0.14206148065308083
1984,-0.20338446044814187,4,798.3188449887494,0.14856837551365976
1985,-0.08331623151443165,5,731.8059272773331,0.15522679246512894
1986,-0.029833819295398023,6,709.97336148364,0.16203457095595675
1987,0.333054180614959,6,946.4329576510218,0.16899824361938476
1988,0.1530134290513939,6,1091.2499098684573,0.17616418418503416
1989,0.23121879582821933,6,1343.5673999758947,0.18355504070055526
1990,-0.2908064036664269,6,952.8493963054531,0.19119638409868145
1991,0.8321532403412096,6,1745.7661089982012,0.1991049139168784
1992,1.4378307383207054,7,4255.88228243435,0.2072578819029286
1993,0.2174373174045634,11,5181.269909116485,0.2156706084290907
1994,-0.22569143252255297,14,4011.9016810419876,0.22434940028166078
1995,0.21534254109177203,14,4875.834783647921,0.23327453905009837
1996,0.14143677681494005,15,5565.457139729253,0.2424386222527013
1997,0.2663317024002669,16,7047.714814389065,0.2518396205735297
1998,0.34575040501402926,17,9484.465065887458,0.261361002146339
1999,-0.135411362623113,17,8200.160727564324,0.27100243316644285
2000,0.1824750493490869,17,9696.485460997068,0.2807483092400819
2001,0.22159355457766777,18,11845.164141210083,0.2905084696662589
2002,0.21908806777747125,18,14440.29826541479,0.30016577016559853
2003,0.5624182129450804,19,22561.785010243322,0.3096466874642211
2004,0.35910066907252675,19,30663.737102892203,0.31889711312623437
2005,0.21469082970997744,21,37246.96026352075,0.3278443226356206
2006,0.09173274399653324,21,40663.726134023345,0.3364000028452877
2007,-0.0072329151164102065,22,40369.608854579004,0.34450641384769054
2008,-0.3851297085617475,22,24822.073161663247,0.35209286676213997
2009,0.425285619533836,22,35378.543924335405,0.359016926200414
2010,0.39562937359068956,22,49375.33509567092,0.36524832866229007
2011,0.2562604603054673,22,62028.28119502424,0.370825860880715
2012,0.19004954611200586,22,73816.72788224647,0.37585189920086093
2013,0.5301351504212819,23,112949.57002170804,0.38056177003350333
2014,0.2683899066713175,24,143264.0945783997,0.38503661829015595
2015,-0.045441276019071955,26,136753.9913130402,0.38930121656876426
2016,0.08767293199222977,29,148743.61469309437,0.393373810010163
2017,0.03717615654603274,29,154273.33059814762,0.3971484937313427
2018,0.04625790714923994,29,161409.69200056072,0.4005565425082266
2019,0.1758110805199787,29,189787.30435757624,0.40365179727906286
2020,0.09319716865438933,30,207474.94377025118,0.4065287827327448
2021,0.2588111851979736,30,261171.7798663128,0.40928772148334724
2022,-0.18110278193694077,35,213872.84396910126,0.41194367312851476
2023,0.24815303339468606,35,266946.0389607821,0.4146073124127751
2024,0.13186056777067812,37,302145.6952222844,0.417277187801097
