Rank,Ticker,Name,Region
1,MCD,McDonald's Corporation,US
2,SBUX,Starbucks Corporation,US
3,CMG,"Chipotle Mexican Grill, Inc.",US
4,YUM,"Yum! Brands, Inc.",US
5,QSR,Restaurant Brands International,US/Canada
6,DRI,"Darden Restaurants, Inc.",US
7,YUMC,"Yum China Holdings, Inc.",US/China
8,TXRH,"Texas Roadhouse, Inc.",US
9,DPZ,"Domino's Pizza, Inc.",US
10,CAVA,"CAVA Group, Inc.",US
11,BROS,Dutch Bros Inc.,US
12,7550.T,"Zensho Holdings Co., Ltd.",Japan
13,3563.T,Food & Life Companies Ltd.,Japan
14,2702.T,McDonald's Holdings Japan,Japan
15,EAT,"Brinker International, Inc.",US
16,WING,Wingstop Inc.,US
17,3197.T,"Skylark Holdings Co., Ltd.",Japan
18,CAKE,The Cheesecake Factory Inc.,US
19,SHAK,Shake Shack Inc.,US
20,JBFCF,Jollibee Foods Corporation,Philippines
21,ARCO,Arcos Dorados Holdings Inc.,Latin America
22,MAB.L,Mitchells & Butlers plc,UK
23,SSPG.L,SSP Group plc,UK
24,7581.T,"Saizeriya Co., Ltd.",Japan
25,WEN,The Wendy's Company,US
26,GYG.AX,Guzman y Gomez,Australia
27,SG,"Sweetgreen, Inc.",US
28,DMP.AX,Domino's Pizza Enterprises,Australia
29,PZZA,Papa John's International,US
30,BJRI,"BJ's Restaurants, Inc.",US
31,BH,Biglari Holdings Inc.,US
32,9936.T,Ohsho Food Service Corp.,Japan
33,3543.T,"KOMEDA Holdings Co., Ltd.",Japan
34,CKF.AX,Collins Foods Limited,Australia
35,BLMN,"Bloomin' Brands, Inc.",US
36,FWRG,First Watch Restaurant Group,US
37,KRUS,"Kura Sushi USA, Inc.",US
38,MTY.TO,MTY Food Group Inc.,Canada
39,PLAY,Dave & Buster's Entertainment,US
40,LOCO,"El Pollo Loco Holdings, Inc.",US
41,NATH,"Nathan's Famous, Inc.",US
42,DIN,"Dine Brands Global, Inc.",US
43,PZA.TO,Pizza Pizza Royalty Corp.,Canada
44,PTLO,Portillo's Inc.,US
45,JACK,Jack in the Box Inc.,US
46,RRGB,Red Robin Gourmet Burgers,US
47,GENK,"GEN Restaurant Group, Inc.",US
48,NDLS,Noodles & Company,US
49,FAT,FAT Brands Inc.,US
50,DENN,Denny's Corporation,US
51,RUTH,Ruth's Hospitality Group,US
52,CHG,CBRL Group (Cracker Barrel),US
53,TACO,Del Taco Restaurants (historical),US
54,ARKR,Ark Restaurants Corp.,US
55,BDL,"Flanigan's Enterprises, Inc.",US
56,GTIM,Good Times Restaurants Inc.,US
57,RAVE,"Rave Restaurant Group, Inc.",US
58,BTBD,"BT Brands, Inc.",US
59,BABB,"BAB, Inc.",US
60,JUBLFOOD.NS,Jubilant FoodWorks Limited,India
61,WESTLIFE.NS,Westlife Foodworld Ltd,India
62,RBA.NS,Restaurant Brands Asia Ltd,India
63,DEVYANI.NS,Devyani International Ltd,India
64,SAPPHIRE.NS,Sapphire Foods India Ltd,India
65,GRG.L,Greggs plc,UK
66,ALMR,Americana Restaurants,UAE
67,6862.HK,Haidilao International,Hong Kong
68,0341.HK,Café de Coral Holdings,Hong Kong
69,0052.HK,Fairwood Holdings Limited,Hong Kong
70,9658.HK,Super Hi International,Hong Kong
71,EAT.MC,AmRest Holdings SE,Spain
72,ALSEA.MX,"Alsea, S.A.B. de C.V.",Mexico
73,NOHO.HE,NoHo Partners Oyj,Finland
74,7421.T,"Kappa Create Co., Ltd.",Japan
75,8179.T,"Royal Holdings Co., Ltd.",Japan
76,7412.T,Atom Corporation,Japan
77,9828.T,"Genki Sushi Co., Ltd.",Japan
78,2753.TW,Bafang Yunji International,Taiwan
79,2727.TW,"Wang Steak Co., Ltd.",Taiwan
80,6002.SR,Herfy Food Services Co.,Saudi Arabia
81,1350.HK,Buns and Rolls Group,Hong Kong
82,1978.HK,LH Group Limited,Hong Kong
83,1445.HK,Tang Palace Restaurant,Hong Kong
84,5OI.SI,Japan Foods Holding Ltd.,Singapore
85,42R.SI,Jumbo Group Limited,Singapore
86,1D0.SI,Kimly Limited,Singapore
87,SRG.AX,Strategic Elements Rest.,Australia
88,TWR.NZ,Tower Restaurant Group,New Zealand
89,RFG.AX,Retail Food Group Limited,Australia
90,PBP.AX,Collins Pizza Partners,Australia
91,BOBA,Boba Time Holdings Inc.,US
92,YUM.DE,Yum! Brands (GDR),Germany
93,MCD.DE,McDonald's Corp (GDR),Germany
94,SBUX.DE,Starbucks Corp (GDR),Germany
95,COLL,Collins Foods International,US
96,FRGI,Fiesta Restaurant Group,US
97,PBPB,Potbelly Corporation,US
98,TAST,Carrols Restaurant Group,US
99,DENN,Denny's Corp,US
100,LKNCY,Luckin Coffee Inc.,US/China
