Ticker,Country,Success
MCD,United States of America,True
SBUX,United States of America,True
CMG,United States of America,True
YUM,United States of America,True
DRI,United States of America,True
TXRH,United States of America,True
DPZ,United States of America,True
CAVA,United States of America,True
BROS,United States of America,True
7550.T,Japan,True
3563.T,Japan,True
2702.T,Japan,True
EAT,United States of America,True
WING,United States of America,True
3197.T,Japan,True
CAKE,United States of America,True
SHAK,United States of America,True
MAB.L,United Kingdom,True
SSPG.L,United Kingdom,True
7581.T,Japan,True
WEN,United States of America,True
GYG.AX,Australia,True
SG,United States of America,True
DMP.AX,Australia,True
PZZA,United States of America,True
BJRI,United States of America,True
BH,United States of America,True
9936.T,Japan,True
3543.T,Japan,True
CKF.AX,Australia,True
BLMN,United States of America,True
FWRG,United States of America,True
KRUS,United States of America,True
PLAY,United States of America,True
LOCO,United States of America,True
NATH,United States of America,True
DIN,United States of America,True
PTLO,United States of America,True
JACK,United States of America,True
RRGB,United States of America,True
GENK,United States of America,True
NDLS,United States of America,True
FAT,United States of America,False
DENN,United States of America,False
RUTH,United States of America,False
CHG,United States of America,False
TACO,United States of America,True
ARKR,United States of America,True
BDL,United States of America,True
GTIM,United States of America,True
RAVE,United States of America,True
BTBD,United States of America,True
BABB,United States of America,True
JUBLFOOD,India,False
WESTLIFE,India,False
RBA,India,True
DEVYANI,India,False
SAPPHIRE,India,False
GRG.L,United Kingdom,True
7421.T,Japan,True
8179.T,Japan,True
7412.T,Japan,True
9828.T,Japan,True
5OI.SG,Singapore,False
42R.SG,Singapore,False
1D0.SG,Singapore,False
SRG.AX,Australia,True
RFG.AX,Australia,True
PBP.AX,Australia,False
BOBA,United States of America,False
COLL,United States of America,True
FRGI,United States of America,False
PBPB,United States of America,False
TAST,United States of America,False
DENN,United States of America,False
