Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
1992,42.40091463414634,41.25,37.5,,
1993,29.001358695652176,33.75,27.1875,-10.3125,-13.399555938494164
1994,22.408854166666668,28.125,22.5,-4.6875,-6.592504528985508
1995,17.712053571428573,21.5625,7.5,-15.0,-4.696800595238095
1996,7.716843011811024,7.03125,5.625,-1.875,-9.995210559617549
1997,6.027050395256917,7.5,5.15625,-0.46875,-1.689792616554107
1998,7.838727678571429,5.625,11.25,6.09375,1.8116772833145118
1999,9.16889880952381,11.625,6.5625,-4.6875,1.3301711309523814
2000,5.924293154761905,6.75,4.125,-2.4375,-3.244605654761905
2001,5.828815519809723,4.125,7.199999809265137,3.0749998092651367,-0.0954776349521822
2002,9.701428545845879,7.5,7.110000133514404,-0.08999967575073242,3.8726130260361558
2003,9.303452380119808,7.110000133514404,12.0,4.889999866485596,-0.397976165726071
2004,9.64190473632207,12.0,9.029999732971191,-2.9700002670288086,0.33845235620226255
2005,13.58035715799483,9.300000190734863,15.149999618530273,6.119999885559082,3.9384524216727606
2006,16.835976133308563,15.149999618530273,18.0,2.8500003814697266,3.255618975313732
2007,16.681314764744734,18.0,17.06999969482422,-0.9300003051757812,-0.15466136856382917
2008,10.479011869242068,17.06999969482422,3.930000066757202,-13.139999628067017,-6.202302895502665
2009,3.777857145619771,3.930000066757202,3.240000009536743,-0.690000057220459,-6.701154723622297
2010,2.7685714226866525,3.240000009536743,2.0399999618530273,-1.2000000476837158,-1.0092857229331185
2011,1.9274999920337919,2.0,1.149999976158142,-0.8899999856948853,-0.8410714306528606
2012,1.7806799972057343,1.2200000286102295,2.309999942779541,1.159999966621399,-0.14681999482805752
2013,2.742142852336641,2.369999885559082,2.5199999809265137,0.21000003814697266,0.9614628551309068
2014,4.101111114025116,2.5999999046325684,6.960000038146973,4.440000057220459,1.3589682616884748
2015,7.286865092459179,7.630000114440918,4.800000190734863,-2.1599998474121094,3.1857539784340627
2016,3.6363095291077143,4.880000114440918,3.1500000953674316,-1.6500000953674316,-3.6505555633514644
2017,3.074820718917239,3.200000047683716,2.6500000953674316,-0.5,-0.5614888101904754
2018,3.6386852530369245,2.549999952316284,2.5,-0.15000009536743164,0.5638645341196855
2019,2.04623015201281,2.509999990463257,1.590000033378601,-0.9099999666213989,-1.5924551010241146
2020,1.345494070425335,1.600000023841858,2.8499999046325684,1.2599998712539673,-0.7007360815874748
2021,4.296468273987846,2.950000047683716,4.340000152587891,1.4900002479553223,2.9509742035625104
2022,3.14804781195652,4.539999961853027,2.240000009536743,-2.1000001430511475,-1.1484204620313259
2023,2.799040002822876,2.319999933242798,2.5399999618530273,0.2999999523162842,-0.34900780913364393
2024,2.6396825455483937,2.5399999618530273,2.5899999141693115,0.04999995231628418,-0.15935745727448225
2025,1.8160800008773803,2.5799999237060547,1.2100000381469727,-1.3799998760223389,-0.8236025446710133
2026,1.253834587290771,1.2000000476837158,1.409999966621399,0.19999992847442627,-0.5622454135866093
