Ticker,Company,Title,Release_Date,Tier,CAR_day-5_to_day20
TTWO,Take-Two Interactive,Grand Theft Auto IV,2008-04-29,Major,0.0207
TTWO,Take-Two Interactive,Grand Theft Auto V,2013-09-17,Major,-0.0984
TTWO,Take-Two Interactive,Red Dead Redemption 2,2018-10-26,Major,-0.0925
UBI.PA,Ubisoft,Assassin's Creed Odyssey,2018-10-05,Minor,-0.0519
UBI.PA,Ubisoft,Assassin's Creed Valhalla,2020-11-10,Major,-0.1252
7974.T,Nintendo,Nintendo Switch console + Breath of the Wild,2017-03-03,Major,0.1921
7974.T,Nintendo,Super Mario Odyssey,2017-10-27,Minor,0.0176
7974.T,Nintendo,Animal Crossing: New Horizons,2020-03-20,Major,0.2454
7974.T,Nintendo,The Legend of Zelda: Tears of the Kingdom,2023-05-12,Major,-0.0336
9697.T,Capcom,Monster Hunter World,2018-01-26,Major,0.3136
9697.T,Capcom,Resident Evil Village,2021-05-07,Minor,-0.092
9697.T,Capcom,Street Fighter 6,2023-06-02,Minor,-0.0269
9684.T,Square Enix Holdings,Final Fantasy VII Remake,2020-04-10,Major,-0.1548
9684.T,Square Enix Holdings,Final Fantasy XVI,2023-06-22,Minor,0.0107
7832.T,Bandai Namco Holdings,Elden Ring,2022-02-25,Major,0.1312
259960.KS,Krafton,PUBG: Battlegrounds (full release),2017-12-21,Major,0.088
